id,nombre,descripcion,unidad_medida,precio_por_unidad
328,Oven Thermometer,High-precision oven thermometer for accurate cooking.,m2,11.99
329,Classic White T-Shirt,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,pulgadas,19.99
330,Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,km,4.49
331,Organic Coconut Water,Refreshing coconut water packed with electrolytes for hydration.,litro,2.79
332,Nutritional Yeast,A healthy vegan cheese alternative packed with nutrients and flavor.,km,3.59
333,Phone Screen Protector,Tempered glass screen protector for smartphones.,cm,12.99
334,Cinnamon Sugar Donuts,Delicious mini donuts dusted with cinnamon sugar.,cm,4.99
335,Apple Cinnamon Oatmeal,Warm oatmeal flavored with apple and cinnamon.,litro,2.89
336,Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,litro,12.99
337,Wireless Security System,Comprehensive camera and alert system for home security.,m2,299.99
338,Artisan Flatbreads,"Thin and crispy flatbreads, perfect for dips.",cm3,2.99
339,Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,m2,12.99
340,Garden Kneeler and Seat,Convertible kneeler and seat for gardening comfort.,litro,39.99
341,Ceramic Bakeware Set,Durable ceramic bakeware for casseroles and desserts.,litro,49.99
342,Camping Chair,Portable folding camping chair with cup holder.,pulgadas,29.99
343,Garden Vegetable Chips,"Crispy chips made from assorted garden vegetables, lightly salted.",cm3,3.49
344,High-Pressure Handheld Shower Head,Shower head designed for a strong spray and complete coverage.,litro,39.99
345,Honey Nut Cheerios,Classic cereal made with whole grains and honey.,km,4.29
346,Portable Hand Warmer,Rechargeable hand warmer for cold weather comfort.,litro,24.99
347,Ramen Noodle Soup Cups,Instant ramen cups with flavor-packed broth.,cm,1.29
348,Hot Dog Buns,Soft buns perfect for stuffing with your favorite hot dogs.,cm3,2.49
349,Basketball,Official size basketball for indoor and outdoor play.,litros,29.99
350,Portable Phone Mug Holder,Convenient holder for drinks and phones while driving.,cm3,14.99
351,Zucchini,"Fresh zucchini, versatile for grilling or sautéing.",km,0.79
352,Spiralizer,Vegetable spiralizer for healthy meals.,cm3,22.99
353,LED Strip Lights Kit,DIY LED strip lights with remote control.,cm3,29.99
354,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",litros,5.49
355,Pumpkin Ice Cream,"Seasonal pumpkin ice cream, perfect for fall.",m2,4.99
356,Classic Bagels,"Freshly baked bagels, perfect for breakfast or snacks.",litro,2.99
357,Ice Cream Maker,Homemade ice cream maker for delicious desserts.,litros,79.99
358,Italian Herbal Seasoning,A fragrant blend of Italian herbs for pasta sauces and marinades.,pulgadas,1.99
359,Robot Vacuum Cleaner,Smart robotic vacuum for automatic cleaning.,cm,299.99
360,Harvest Grain Salad,"A hearty salad with grains, dried fruits, and nuts.",cm3,5.49
361,Wireless Music Receiver,Stream music from your device to any speaker wirelessly.,litros,19.99
362,Cauliflower Rice Stir-Fry,Frozen cauliflower rice blended with mixed vegetables and seasonings.,km,4.99
363,Instant Camera,Retro instant camera for capturing and printing photos instantly.,cm,89.99
364,Artisan Bread Loaf,"Fresh artisan bread, perfect for sandwiches",km,3.99
365,Tandoori Chicken Skewers,Marinated chicken skewers infused with traditional tandoori spices.,m2,7.99
366,Relaxed Fit Henley Shirt,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",m2,29.99
367,Avocado Lime Dressing,"Refreshing dressing made with avocado and lime, perfect for salads.",litro,4.29
368,Smart Thermostat with Wi-Fi,Wi-Fi enabled thermostat that learns your habits.,m2,169.99
369,Portable Pet Stroller,Convenient stroller for pets to enjoy outdoor walks.,pulgadas,89.99
370,Raspberry Lemonade Mix,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",cm,3.99
371,Smartphone Projector Kit,DIY kit to convert your smartphone into a mini projector.,litros,24.99
372,Rustic Italian Breads,Freshly baked artisan bread with a crisp crust and soft center.,cm,3.99
373,Organic Black Rice,"Nutty and chewy black rice, high in antioxidants.",litro,3.59
374,Ice Pack,Reusable gel ice pack for injuries and cooling.,litros,8.99
375,Motorcycle Phone Mount,Universal mount for smartphones on motorcycles.,pulgadas,14.99
376,Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,litros,12.99
377,Bamboo Memory Foam Pillow,Ergonomically designed pillow with breathable bamboo cover.,km,34.99
378,First Aid Kit,Comprehensive first aid kit for emergency situations.,cm3,29.99
379,Survival Gear Kit,Essential survival gear kit for emergencies.,litros,59.99
380,Wireless Earbuds Case,Protective case for wireless earbuds.,litros,12.99
381,French Bread,"Freshly baked French baguette, perfect for dipping.",cm3,2.49
382,Teriyaki Stir-Fry Sauce,Savory teriyaki sauce for stir-frying veggies or meats.,pulgadas,3.49
383,Almond Flour Bread Mix,Gluten-free bread mix made with almond flour.,km,4.89
384,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,km,129.99
385,Basil Lemonade,Refreshing basil-infused lemonade for a cool drink.,m2,2.99
386,Tabletop Fire Pit,Compact and stylish indoor/outdoor fire pit for ambiance.,litros,79.99
387,High-Speed Hand Blender,Powerful hand blender for soups and smoothies.,km,39.99
388,Fashionable Scarves Set,Stylish scarves to accessorize any outfit.,pulgadas,24.99
389,Pet Leash,Durable pet leash with comfortable handle.,km,15.99
390,Coconut Rice,Fluffy rice cooked with coconut milk for a tropical twist.,cm3,2.29
391,Pasta Sauce Mix,Just add water for a quick pasta sauce.,pulgadas,1.29
392,Relaxed Fit Henley Shirt,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",pulgadas,29.99
393,Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,km,4.49
394,Blueberry Chia Jam,"Homemade jam made with blueberries and chia seeds, no added sugar.",cm3,4.99
395,Watercolor Set,Complete watercolor set with paints and brushes.,cm3,19.99
396,Beef Sirloin Steak,"Juicy and tender beef sirloin steak, grass-fed.",litros,15.99
397,Raspberry Tart,A delicious tart filled with fresh raspberry filling.,cm3,5.49
398,Kids' Outdoor Explorer Kit,Fun kit for aspiring explorers with binoculars and a compass.,cm,24.99
399,Sports Windbreaker,Lightweight windbreaker for outdoor activities.,litro,44.99
400,Feta Cheese,"Tangy feta cheese, perfect for salads and sandwiches.",litros,4.99
401,Artisan Bread Loaf,"Fresh artisan bread, perfect for sandwiches",pulgadas,3.99
402,Arcade Game Machine,Retro arcade machine for classic gaming.,m2,299.99
403,Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",pulgadas,29.99
404,Tomatillo Salsa,Tangy salsa made from tomatillos and peppers.,km,3.29
405,Gluten-Free Bread,Soft and tasty gluten-free sandwich bread.,litros,5.49
406,Electric Griddle with Removable Plates,Non-stick surface for easy cooking and cleaning.,m2,59.99
407,Sriracha Sauce,Spicy chili sauce for an extra kick in your meals.,litro,3.19
408,Yoga Wheel,Supportive yoga wheel for deep stretching and balance.,litro,34.99
409,Tailored Dress Pants,"Smart tailored dress pants, perfect for work or formal events.",km,79.99
410,Greek Yogurt Parfait,"Layered Greek yogurt with granola and mixed berries, ready to enjoy.",pulgadas,4.49
411,Stainless Steel Water Pitcher,Insulated pitcher to keep beverages cold or hot.,m2,39.99
412,Ripped Boyfriend Jeans,"Stylish ripped boyfriend jeans for a relaxed, effortlessly cool vibe.",cm,54.99
413,Cauliflower Rice Stir-Fry,Frozen cauliflower rice blended with mixed vegetables and seasonings.,pulgadas,4.99
414,Tactical Backpack,Durable and versatile backpack for outdoor and travel use.,cm3,59.99
415,Miso Dressing,Flavorful dressing made with miso paste,litro,3.49
416,Slim Fit Chinos,Comfortable slim fit chinos for a polished look.,km,54.99
417,LED Christmas Tree Lights,String lights for decorating holiday trees.,cm3,34.99
418,High-Low Hem Tee,"Trendy high-low tee with a relaxed fit, ideal for weekends.",cm,22.99
419,Quinoa,"Protein-rich quinoa, a great alternative to rice.",cm,4.49
420,Beef Enchilada Casserole,Hearty casserole with beef and enchilada sauce.,litros,8.99
421,Sun-Dried Tomatoes,Dried tomatoes packed with deep flavor for salads and pasta.,litros,3.99
422,Avocados,"Fresh, creamy avocados ideal for salads and guacamole.",litro,1.5
423,Thai Peanut Noodles,Noodles tossed in a spicy Thai peanut sauce.,km,4.99
424,Honey Butter Popcorn,Light and fluffy popcorn coated in sweet honey butter.,pulgadas,2.99
425,BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",m2,3.49
426,Herbal Tea Set,Assorted herbal tea bags for relaxation and wellness.,pulgadas,19.99
427,Essential White Button-Up,A classic white button-up shirt for a polished appearance.,litros,44.99
428,Peas (frozen),"Frozen green peas, a great addition to meals.",cm,1.89
429,Honey Garlic Chicken,Tender chicken coated in a sweet and savory honey garlic sauce.,m2,8.49
430,Savory Mushroom Risotto,Creamy risotto infused with wild mushrooms.,litros,6.49
431,Chocolate Hazelnut Granola,Crunchy granola with chocolate and hazelnuts for breakfast.,cm,4.49
432,Travel Pillow with Memory Foam,Ergonomically designed neck pillow for comfortable travel.,cm,29.99
433,Baby Safety Corner Guards,Soft corner protectors to keep babies safe at home.,pulgadas,9.99
434,Apple Cinnamon Granola,A wholesome granola with bits of apple and a touch of cinnamon.,cm,4.49
435,Comfortable Jogger Pants,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",cm3,29.99
436,Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,cm3,199.99
437,Magnetic Curtain Tiebacks,Easy-to-use tiebacks for curtains or drapes.,pulgadas,12.99
438,Electric Kettle with Temperature Control,Electric kettle that offers precise temperature settings.,litros,49.99
439,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",litro,5.49
440,Potting Soil,Premium potting soil for indoor plants.,cm3,15.99
441,Sliced Avocado,"Ready-to-eat avocado slices, perfect for tacos.",cm,2.79
442,Baking Soda,Essential ingredient for baking and cooking.,litros,0.99
443,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,pulgadas,29.99
444,Electric Air Pump,Fast and convenient air pump for inflating toys and furniture.,pulgadas,29.99
445,Mango Salsa,Fresh mango salsa with a hint of lime for a zesty topping.,m2,3.49
446,Utility Cargo Pants,Practical cargo pants with lots of pockets for functionality.,cm,54.99
447,Maple Pecan Granola,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",cm3,4.49
448,Oven Mitts with Pocket,Silicone oven mitts designed for safe cooking and baking.,litros,19.99
449,Chocolate Chip Cliff Bars,Nutritious energy bars packed with chocolate chips.,m2,2.49
450,Chocolate Dipped Fruit,"Fruits dipped in rich chocolate, perfect for desserts.",cm,5.99
451,Handheld Shower Head,Adjustable shower head for a luxurious shower experience.,cm3,34.99
452,Decorative Throw Pillows,Set of stylish throw pillows for home decor.,m2,29.99
453,Lightweight Rain Jacket,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",cm3,79.99
454,Magnetic Spice Jars,Convenient magnetic jars for easy spice storage.,km,24.99
455,Sun Protection Clothing,UV-blocking clothing for outdoor activities.,m2,44.99
456,USB-C Hub,Multi-port USB-C hub for connecting devices.,km,39.99
457,Energy Bites,Healthy energy bites made with oats and natural sweeteners.,km,3.99
458,Toasted Coconut Granola,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",m2,4.99
459,Electric Rice Cooker with Steamer,Cook rice and steam vegetables simultaneously for healthy meals.,km,49.99
460,Electric Griddle,Large electric griddle for family meals.,litro,54.99
461,Folding Exercise Bike,Space-saving bike for indoor workouts.,pulgadas,199.99
462,Beef Enchilada Casserole,Hearty casserole with beef and enchilada sauce.,m2,8.99
463,Magnetic Spice Jars,Convenient magnetic jars for easy spice storage.,cm3,24.99
464,Indoor Grill,Electric indoor grill for quick meals.,m2,59.99
465,Butternut Squash Soup,"Creamy and delicious soup made with real butternut squash, ready to heat.",cm3,3.49
466,Graphic Sweatshirt,A comfortable sweatshirt featuring a bold graphic print.,km,34.99
467,Safety Pin Dispenser,Handy dispenser for quick access to safety pins.,km,5.99
468,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,pulgadas,129.99
469,Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,cm,3.29
470,Survival Gear Kit,Essential survival gear kit for emergencies.,litros,59.99
471,Sweet Potato & Kale Hash,"Savory hash made with sweet potatoes and kale, a perfect side dish.",cm,5.49
472,Wireless Security System,Comprehensive camera and alert system for home security.,km,299.99
473,Caramel Apple Taffy,"Sweet and chewy taffy flavored like caramel apples, great for fall.",pulgadas,1.99
474,Key Finder,Bluetooth-enabled key tracker to find lost items easily.,litro,19.99
475,Luminous Night Light,Soft glow night light for children's rooms or bedside.,cm,15.99
476,LED Strip Lights Kit,DIY LED strip lights with remote control.,cm,29.99
477,Multi-Purpose Marine Rope,"Heavy-duty rope suitable for boating, camping, and general use.",cm3,19.99
478,Kids' STEM Robotics Kit,Educational robotics kit for building and programming.,cm3,59.99
479,Tofu,"Firm tofu, a great plant-based protein option.",litro,2.49
480,Peach Green Tea,"Refreshing green tea infused with peach, perfect for a hot day.",m2,3.49
481,Vegetable Stir-Fry Sauce,Savory sauce for vegetable and meat stir-fries.,km,3.49
482,Multi-Tool,Versatile multi-tool with 15 different functions.,litros,39.99
483,Sour Cream,"Tangy sour cream, perfect for dips and toppings.",litro,3.49
484,Insulated Lunch Box,Durable lunch box designed to keep food fresh and cool.,litro,24.99
485,Chocolate Chip Cookie Dough,Ready-to-bake cookie dough packed with chocolate chips.,pulgadas,5.49
486,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",litro,2.49
487,Travel Makeup Organizer,Compact organizer for cosmetics during travel.,cm,25.99
488,Chickpea Flour,"Gluten-free flour made from ground chickpeas, great for cooking.",m2,3.29
489,Multi-Function Smartphone Holder,"Versatile holder that can be used on desks, cars, and more.",litros,12.99
490,Vegetable Broth,Rich vegetable broth for soups and stews.,litros,2.29
491,Tandoori Chicken Marinade,Delicious and tangy marinade for grilling or baking chicken.,km,2.49
492,Mediterranean Chickpea Salad,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing.",m2,5.99
493,Coconut Milk Yogurt,Creamy yogurt made with coconut milk,cm,2.99
494,Over-Ear Headphones,Comfortable over-ear headphones with deep bass.,litro,59.99
495,Popcorn Chicken,"Crispy chicken bites, perfect for dipping.",litro,6.49
496,Cookbook,Inspiring cookbook with healthy recipes.,m2,27.99
497,Wall Art Stickers,Removable wall art stickers for home decoration.,cm,19.99
498,Vegetable Fried Rice Mix,A quick and easy fried rice mix with colorful veggies and savory seasoning.,cm,3.99
499,Wireless HDMI Transmitter,Stream HD video wirelessly to your TV.,cm,79.99
500,Garlic Herb Marinade,"A savory marinade for meats, perfect for grilling.",pulgadas,3.29
501,Tattoo Kit,Complete tattoo kit for beginners and professionals.,pulgadas,99.99
502,Folding Exercise Bike,Space-saving bike for indoor workouts.,litro,199.99
503,Smart Water Bottle with Hydration Reminder,Bottle that tracks your water intake and reminds you to drink.,m2,39.99
504,Gluten-Free Biscuits,Fluffy biscuits made without gluten,m2,3.79
505,Herb Seasoned Rice,A flavorful rice side dish seasoned with herbs and spices.,cm3,2.99
506,Electric Butter Churn,Automatic churner for making butter at home.,litro,49.99
507,Classic Bagels,"Freshly baked bagels, perfect for breakfast or snacks.",cm,2.99
508,Peanut Butter Pretzel Bites,Crunchy pretzel bites filled with peanut butter,m2,4.19
509,Vegetable Potstickers,"Delicious vegetable dumplings, perfect for steaming or frying.",litros,5.99
510,Bamboo Cutting Board Set,Eco-friendly bamboo cutting boards in various sizes.,pulgadas,34.99
511,Body Pillow Case,Soft and breathable pillowcase for body pillows.,litro,14.99
512,LED Flashing Pet Collar,Safety collar with flashing lights for pets during night walks.,pulgadas,14.99
513,Coconut Lime Rice,"Flavorful rice mixed with coconut and lime, a tropical side dish.",litros,2.99
514,Honey Glazed Carrots,"Sweet and savory carrots glazed in honey, perfect as a side dish.",litro,3.49
515,Tomato Sauce,Rich and flavorful tomato sauce for pasta or pizza.,cm,2.79
516,Grilled Vegetable Medley,"A mix of grilled vegetables, ready to heat for quick side dishes.",litros,4.49
517,Cinnamon Spiced Almonds,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,pulgadas,5.99
518,Set of Silicone Cooking Utensils,Non-stick utensils for safe and easy cooking.,litro,29.99
519,Portable Blender,Battery-operated blender for smoothies on the go.,pulgadas,30
520,Spaghetti and Meatball Dinner Kit,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",litros,7.99
521,Lemon Garlic Shrimp,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",cm3,8.99
522,Fresh Cilantro,"Bright and fragrant cilantro, great for garnishes.",litros,1.49
523,Fitness Tracker Band,Affordable fitness tracker with heart rate monitor.,litro,29.99
524,Cable Knit Cardigan,Cozy cable knit cardigan to layer during chilly evenings.,litro,49.99
525,Suction Cup Hooks,Reusable suction cup hooks for hanging items.,m2,9.99
526,Colorful Post-It Notes Set,Variety pack of sticky notes in different colors and sizes.,cm,9.99
527,Basic V-Neck T-Shirt,A staple v-neck t-shirt that pairs well with anything.,km,19.99
528,Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,cm3,1.29
529,LED Strip Lights with Remote Control,Color-changing LED lights for home decoration with remote.,m2,29.99
530,High-Speed Hand Blender,Powerful hand blender for soups and smoothies.,m2,39.99
531,Lasagna Noodles,Wide pasta sheets for making lasagna.,pulgadas,1.89
532,Instant Camera,Retro instant camera for capturing and printing photos instantly.,km,89.99
533,Baby Monitor,Video baby monitor with night vision.,cm,79.99
534,Black Olives,"Sliced black olives, perfect for salads and pizzas.",km,1.99
535,Coconut Yogurt,"Creamy yogurt made from coconut milk, dairy-free and delicious.",cm3,3.89
536,Overnight Duffle Bag,Spacious duffle bag for weekend getaways.,km,34.99
537,Car Emergency Kit,Comprehensive emergency kit for roadside assistance.,cm3,49.99
538,Ice Cube Tray with Lid,Silicone tray for making ice cubes with a lid to prevent spills.,km,10.99
539,Luxury Bathrobe,Soft and cozy bathrobe perfect for relaxing at home.,litro,49.99
540,Caramelized Onion Dip Mix,A mix to create a delicious onion dip for parties or snacking.,litro,2.29
541,Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",km,6.49
542,Pumpkin Spice Coffee,"Coffee blend infused with pumpkin spice, perfect for fall.",pulgadas,7.99
543,Tomato Basil Pasta Sauce,Rich and flavorful pasta sauce made with ripe tomatoes and basil.,m2,3.99
544,Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",cm3,1.99
545,Personal Blender with Travel Cup,Blender for smoothies with a portable cup.,litro,39.99
546,Energy Protein Bars,Nutritious bars packed with protein for energy,cm3,2.29
547,Athletic Jogging Jacket,Designed for comfort and performance during workouts.,litro,49.99
548,Ranch Dressing,"Creamy ranch dressing, perfect for salads and dips.",km,2.59
549,Pet Hair Removal Roller,Lint roller designed specifically for removing pet hair from furniture.,m2,10.99
550,Marinara Parmesan Baked Ziti,Ziti pasta baked with marinara and parmesan cheese,litro,8.49
551,Cushion Covers,Set of decorative cushion covers for home decor.,km,35
552,Vegetarian Sausage Links,Plant-based sausage links with spices and herbs.,litro,5.89
553,Portable Ice Maker,Compact ice maker for creating ice at home or in offices.,km,199.99
554,Sesame Seeds,Crunchy seeds perfect for toppings and baking.,cm,1.99
555,Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,cm3,29.99
556,Chicken Parmesan Dinner Kit,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",km,14.99
557,Travel Mug with Leak-Proof Lid,Stainless steel travel mug that keeps drinks hot or cold.,km,24.99
558,Vegetable Chips,Crispy and crunchy snack made from assorted vegetables.,litros,3.99
559,Lentil Soup,"Flavorful lentil soup, perfect for a quick meal.",litros,2.49
560,LED Strip Lights with Remote Control,Color-changing LED lights for home decoration with remote.,m2,29.99
561,Portable Phone Mug Holder,Convenient holder for drinks and phones while driving.,cm,14.99
562,Digital Drawing Tablet,Tablet for digital drawing and illustration work.,km,79.99
563,Pomegranate Juice,"Fresh pomegranate juice, rich in antioxidants.",pulgadas,4.49
564,Classic Bagels,"Freshly baked bagels, perfect for breakfast or snacks.",cm,2.99
565,Frozen Salmon Filets,"Wild-caught salmon filets, perfect for grilling or baking.",pulgadas,12.99
566,Chewy Granola Bars,Oats and honey bars with a chewy texture and nutty flavor.,m2,3.49
567,Dual Function Electric Skillet,"Skillet that can fry, grill, and sauté with ease.",cm3,59.99
568,Coconut Cream Pie Mix,"Creamy, sweet pie mix to make the perfect coconut cream pie.",km,4.99
569,Blueberry Oatmeal Cups,Instant oatmeal cups with blueberries for an easy breakfast.,cm3,3.29
570,Weighted Jump Rope,Adjustable weighted jump rope for workouts.,km,15.99
571,Handmade Leather Journal,Beautiful leather-bound journal for writing and sketching.,pulgadas,39.99
572,Bird Feeder,Hanging bird feeder for backyard birds.,cm,24.99
573,Habanero Hot Sauce,Fiery hot sauce made with fresh habaneros and spices.,litro,3.79
574,Fresh Cilantro,"Bright and fragrant cilantro, great for garnishes.",km,1.49
575,Pineapple Teriyaki Chicken Mix,A perfect blend of pineapple and teriyaki for stir-fry.,km,6.99
576,Car Seat Organizer,Storage solutions for keeping your car tidy and organized.,pulgadas,14.99
577,Children's Educational Puzzle,Fun and educational puzzle set for kids.,litro,19.99
578,Chili Lime Corn Chips,Crunchy corn chips flavored with chili and lime for a zesty kick.,pulgadas,2.79
579,Adjustable Resistance Bands,Set of resistance bands for versatile strength training workouts.,litro,39.99
580,Cinnamon Spiced Almonds,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,m2,5.99
581,Electric Screwdriver,Cordless electric screwdriver for home projects.,cm,59.99
582,Honey Mustard Dip,Sweet and tangy honey mustard dip for snacks.,pulgadas,3.29
583,Chicken Salad Kit,All-in-one kit for making delicious chicken salad.,cm,5.99
584,Pet Grooming Glove,Gentle glove for brushing and massaging your pet.,cm3,12.99
585,Organic Ramen Noodles,Quick-cooking ramen noodles made with organic wheat.,cm3,2.89
586,Maple Syrup,Pure maple syrup for pancakes and more.,m2,6.99
587,Heavy-Duty Utility Tote,"Large, durable tote bag for shopping and outdoor activities.",m2,34.99
588,Noise Cancelling Ear Muffs,Ear protection for shooting and industrial use.,cm,24.99
589,Portable Blender,Battery-operated blender for smoothies on the go.,km,30
590,Guitar Tuner,Clip-on guitar tuner with LCD display.,litro,19.99
591,Wireless Charger,Qi-certified wireless charger for fast charging.,pulgadas,24.99
592,Spicy Tuna Rolls,"The perfect seafood snack, ready to eat and delicious.",litros,6.49
593,Chino Shorts,Classic chino shorts in a versatile color for summer adventures.,cm,34.99
594,Smoked Paprika Chicken Thighs,Marinated chicken thighs with smoked paprika for a smoky flavor.,cm,6.99
595,Electric Knife,Cordless electric knife for effortless slicing.,litro,39.99
596,Graphic Hoodie,Bold graphic hoodie featuring a comfortable fit and soft fabric.,km,49.99
597,Tailored Blazer,Sharp tailored blazer perfect for office wear and professional events.,litros,99.99
598,Sliced Turkey Breast,"Oven-roasted sliced turkey, perfect for sandwiches.",cm3,5.49
599,Mixed Berry Smoothie Pack,"Frozen berries blend perfect for smoothies, just add yogurt.",litros,5.99
600,Scented Candles,Set of three aromatic candles with various scents.,pulgadas,19.99
601,Multi-Port USB Hub,USB hub for expanding ports on computers and laptops.,cm,19.99
602,Tomato Sauce,Rich and flavorful tomato sauce for pasta or pizza.,cm3,2.79
603,Kids' Craft Supplies Set,Variety pack of craft supplies for kids' projects.,cm3,24.99
604,Honeycrisp Apple Chips,Crispy and sweet dried apple slices,litros,3.49
605,Travel Yoga Mat,Lightweight yoga mat for practicing on the go.,cm3,34.99
606,Soft Plush Throw Blanket,Cozy throw blanket perfect for chilly evenings.,cm,29.99
607,Pet Travel Carrier,Comfortable carrier for small pets during travel.,cm3,39.99
608,Memory Foam Mattress Pad,Extra layer of comfort for your mattress.,litro,69.99
609,Travel Eye Mask with Ear Plugs,Comfortable eye mask that includes noise-canceling ear plugs.,litros,15.99
610,Thai Peanut Dressing,A creamy and tangy dressing perfect for salads or as a dipping sauce.,litro,3.29
611,Sun Protection Clothing,UV-blocking clothing for outdoor activities.,litro,44.99
612,Comfortable Bed Pillow,Supportive pillow designed for a good night's sleep.,litro,24.99
613,Energy Protein Bars,Nutritious bars packed with protein for energy,cm,2.29
614,Mechanical Pencil Set,"Precision pencils for drawing, sketching, and writing.",km,19.99
615,Photo Album,Classic leather photo album for keepsakes.,cm,24.99
616,Sweet Pea Hummus,Creamy hummus made with sweet peas and tahini.,km,4.29
617,Protein Pancake Mix,A protein-packed pancake mix for a nutritious breakfast.,pulgadas,3.99
618,Electric Opener for Jars and Bottles,Easily opens jar lids and bottle caps with one touch.,cm3,24.99
619,Vanilla Ice Cream,"Creamy and rich vanilla ice cream, a classic dessert.",m2,4.99
620,Wireless Range Extender,Boost your Wi-Fi signal for better coverage.,cm,49.99
621,Creamy Tomato Basil Soup,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",m2,3.29
622,Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,m2,3.99
623,Black Bean Spaghetti,"High-protein pasta made from black beans, gluten-free.",cm,3.99
624,Vegan Mayonnaise,Plant-based mayonnaise for a creamy taste.,cm3,4.49
625,Portable USB-C Monitor,Lightweight and slim monitor ideal for dual-screen setups.,pulgadas,199.99
626,Almond Flour Biscuits,Gluten-free biscuits made with almond flour.,cm3,6.49
627,Beef Tacos,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",cm3,5.49
628,Bicycle Lock,Heavy-duty bicycle lock for security.,m2,29.99
629,Adjustable Pedicure Footrest,Ergonomic footrest for easier pedicure treatment.,litros,39.99
630,Outdoor Picnic Blanket,Water-resistant blanket for picnics and outdoor events.,cm3,34.99
631,Coconut Curry Lentil Soup,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",cm3,3.99
632,Outdoor Camping Hammock,Lightweight and durable hammock for relaxing in nature.,cm,29.99
633,Almond Joy Munch Bars,"A delightful mix of chocolate, coconut, and almonds in a snack bar.",litro,1.39
634,Gluten-Free Bread,Soft and tasty gluten-free sandwich bread.,litro,5.49
635,Garden Hoses with Expandable Features,"Lightweight, expandable hoses for easy handling.",cm3,34.99
636,Sweet Potato & Kale Hash,"Savory hash made with sweet potatoes and kale, a perfect side dish.",km,5.49
637,Eco-Friendly Beeswax Wraps,"Reusable wraps for food storage, replacing plastic wraps.",km,14.99
638,Electric Wax Warmer,Wax warmer for creating a soothing atmosphere with fragrances.,cm3,22.99
639,Frozen Spinach,"Chopped and frozen spinach, ideal for cooking and smoothies.",cm3,1.99
640,Inflatable Pool Float,Fun inflatable float for lounging in the pool or beach.,litros,29.99
641,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,cm,5.99
642,Luxury Memory Foam Mattress Topper,Adds extra comfort to your mattress for a better night's sleep.,litro,129.99
643,Wireless Gaming Headset,Comfortable headset with surround sound for immersive gaming.,pulgadas,89.99
644,Garlic Parmesan Roasted Potatoes,Oven-roasted potatoes tossed in garlic and parmesan cheese seasoning.,pulgadas,3.99
645,LED Strip Lights with Remote Control,Color-changing LED lights for home decoration with remote.,pulgadas,29.99
646,Noise Cancelling Ear Muffs,Ear protection for shooting and industrial use.,litros,24.99
647,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,pulgadas,19.99
648,Adjustable Stand for Tablets and Smartphones,Multi-angle stand for easy viewing of devices.,litro,19.99
649,Striped Long Sleeve Shirt,A casual striped long sleeve shirt that's perfect for layering.,litros,29.99
650,Inspirational Wall Art,Quote wall art to inspire and motivate.,litro,24.99
651,Floral Summer Dress,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,km,39.99
